Gene,Weight,Average Expression,Standard Deviation
PDZRN4,-0.033,0.025,0.158
MKNK1,-0.033,0.025,0.158
SHROOM4,-0.033,0,0
SRGAP2,-0.033,0.075,0.267
NCAN,-0.034,0.15,0.362
DSCAM,-0.034,0.25,0.742
LRRK1,-0.035,0,0
SLC24A2,-0.035,0.15,0.427
NRCAM,-0.036,0.8,0.911
ADGRL3,-0.036,0.225,0.423
NXPH1,-0.036,0.025,0.158
A2M,-0.037,0.025,0.158
KIAA1217,-0.038,0,0
CALM1,-0.038,4.2,2.301
GALNT13,-0.039,0.125,0.404
IKZF1,-0.039,0,0
FAM107B,-0.04,0.05,0.221
CNP,-0.041,0,0
P3H2,-0.041,0.05,0.221
SP100,-0.041,0,0
SIK3,-0.041,0.175,0.385
TMSB10,-0.041,1.8,1.924
HCK,-0.042,0,0
RP11-483C6.2,-0.042,0,0
TENM1,-0.042,0.225,0.48
CHST11,-0.043,0.05,0.221
FYB1,-0.043,0,0
MAML3,-0.043,0.1,0.304
MAN2A1,-0.043,0,0
PLEKHH1,-0.043,0,0
MAG,-0.044,0,0
MALAT1,-0.044,1.6,10.119
PDZD2,-0.045,0,0
PCDH7,-0.046,0.175,0.446
COL4A5,-0.046,0,0
LRRK2,-0.046,0.025,0.158
MIR181A1HG,-0.046,0,0
CPED1,-0.047,0,0
INPP5D,-0.048,0,0
KCNH8,-0.048,0.025,0.158
RNF220,-0.048,0.025,0.158
IPCEF1,-0.048,0.025,0.158
RP11-556E13.1,-0.048,0,0
KIF13B,-0.049,0.025,0.158
GAB1,-0.049,0,0
BLNK,-0.049,0,0
BMPR1B,-0.05,0,0
AC002429.5,-0.051,0,0
PITPNC1,-0.051,0.125,0.404
FUT8,-0.052,0.15,0.427
ARHGAP21,-0.052,0.2,0.405
ETNPPL,-0.052,0,0
PKP4,-0.052,0.1,0.304
CLMN,-0.052,0,0
UNC5C,-0.052,0.075,0.267
MLC1,-0.053,0,0
KLHL32,-0.053,0,0
CLEC7A,-0.053,0,0
PCDH9,-0.054,1.325,1.309
CTNND2,-0.054,0.375,0.667
CD86,-0.055,0,0
MAP7,-0.055,0.05,0.221
NKAIN2,-0.055,0.325,0.694
AKAP6,-0.055,0.35,0.7
SCG3,-0.056,0.3,0.564
LRRC4C,-0.056,0.175,0.446
FGF12,-0.056,0.25,0.494
ID2,-0.056,0,0
RBM47,-0.056,0,0
COL9A1,-0.056,0,0
IL18,-0.057,0,0
DIAPH2,-0.057,0.175,0.446
PTPRT,-0.057,0,0
B3GNT5,-0.057,0,0
GJA1,-0.058,0,0
AGT,-0.058,0.025,0.158
SYNE1,-0.058,0.425,0.813
SLCO2B1,-0.059,0,0
CANX,-0.059,0.3,0.648
